"sensor","time_ms","humidity_percent","temperature_degc","dryness_raw"
"DHT22",56170,54.400002,21.600000,28.739002
"DHT22",56671,54.400002,21.600000,29.130011
"DHT22",57172,54.400002,21.600000,29.716520
"DHT22",57673,54.400002,21.700001,18.866079
"DHT22",58449,54.400002,21.700001,26.001955
"DHT22",58950,54.400002,21.700001,28.152493
"DHT22",59451,54.400002,21.700001,28.445747
"DHT22",59952,54.400002,21.600000,3.910069
"DHT22",60727,54.400002,21.600000,9.775171
"DHT22",61228,54.400002,21.600000,14.956012
"DHT22",61729,54.400002,21.600000,22.776148
"DHT22",62230,54.299999,21.600000,27.663734
"DHT22",63006,54.299999,21.600000,1.857283
"DHT22",63507,54.299999,21.600000,3.910069
"DHT22",64008,54.299999,21.600000,10.166178
"DHT22",64509,54.299999,21.700001,28.445747
"DHT22",65285,54.299999,21.700001,28.445747
"DHT22",65786,54.299999,21.700001,6.256110
"DHT22",66287,54.299999,21.700001,1.955034
"DHT22",66788,54.200001,21.600000,28.836754
"DHT22",67564,54.200001,21.600000,28.445747
"DHT22",68065,54.200001,21.600000,28.543499
"DHT22",68566,54.200001,21.600000,27.859238
"DHT22",69067,54.299999,21.600000,33.137829
"DHT22",69843,54.299999,21.600000,29.423265
"DHT22",70344,54.299999,21.600000,29.032259
"DHT22",70845,54.299999,21.600000,28.641251
"DHT22",71346,54.500000,21.600000,44.183773
"DHT22",72121,54.500000,21.600000,36.461388
"DHT22",72622,54.500000,21.600000,33.137829
"DHT22",73123,54.500000,21.600000,29.912024
"DHT22",73624,54.599998,21.600000,56.402737
"DHT22",74399,54.599998,21.600000,53.763439
"DHT22",74900,54.599998,21.600000,50.733139
"DHT22",75401,54.599998,21.600000,43.890518
"DHT22",75902,54.900002,21.700001,29.130011
"DHT22",76677,54.900002,21.700001,29.618769
"DHT22",77178,54.900002,21.700001,50.342133
"DHT22",77679,54.900002,21.700001,56.402737
"DHT22",78180,55.099998,21.600000,26.979471
"DHT22",78955,55.099998,21.600000,28.934505
"DHT22",79456,55.099998,21.600000,29.521017
"DHT22",79957,55.099998,21.600000,29.325514
"DHT22",80458,55.299999,21.600000,13.685240
"DHT22",81233,55.299999,21.600000,21.309874
"DHT22",81734,55.299999,21.600000,25.122190
"DHT22",82235,55.299999,21.600000,27.370480
"DHT22",82736,55.599998,21.600000,5.669599
"DHT22",83511,55.599998,21.600000,3.616813
"DHT22",84012,55.599998,21.600000,4.887586
"DHT22",84513,55.599998,21.600000,14.271749
"DHT22",85014,55.799999,21.600000,28.836754
"DHT22",85789,55.799999,21.600000,28.641251
"DHT22",86290,55.799999,21.600000,27.956989
"DHT22",86791,55.799999,21.600000,4.692082
"DHT22",87292,55.799999,21.600000,31.964809
"DHT22",88067,55.799999,21.600000,29.423265
"DHT22",88568,55.799999,21.600000,28.739002
"DHT22",89069,55.799999,21.600000,29.227762
"DHT22",89570,56.200001,21.700001,44.281525
"DHT22",90345,56.200001,21.700001,35.581623
"DHT22",90846,56.200001,21.700001,32.844574
"DHT22",91347,56.200001,21.700001,29.716520
"DHT22",91848,55.900002,21.700001,56.500488
"DHT22",92623,55.900002,21.700001,55.327469
"DHT22",93124,55.900002,21.700001,45.650047
"DHT22",93625,55.900002,21.700001,36.070381
"DHT22",94126,55.799999,21.700001,30.107527
"DHT22",94901,55.799999,21.700001,52.883675
"DHT22",95402,55.799999,21.700001,56.207233
"DHT22",95903,55.799999,21.700001,52.199413
"DHT22",96404,55.599998,21.700001,30.009775
"DHT22",97179,55.599998,21.700001,30.205278
"DHT22",97680,55.599998,21.700001,30.400782
"DHT22",98181,55.599998,21.700001,55.327469
"DHT22",98682,55.299999,21.700001,28.347996
"DHT22",99457,55.299999,21.700001,29.227762
"DHT22",99958,55.299999,21.700001,30.107527
"DHT22",100459,55.299999,21.700001,30.205278
"DHT22",100960,55.200001,21.700001,22.776148
"DHT22",101735,55.200001,21.700001,26.881720
"DHT22",102236,55.200001,21.700001,29.618769
"DHT22",102737,55.200001,21.700001,29.618769
"DHT22",103238,55.000000,21.700001,6.256110
"DHT22",104013,55.000000,21.700001,15.640274
"DHT22",104514,55.000000,21.700001,24.340176
"DHT22",105015,55.000000,21.700001,27.468231
"DHT22",105516,54.799999,21.700001,3.714565
"DHT22",106292,54.799999,21.700001,11.534702
"DHT22",106793,54.799999,21.700001,19.550343
"DHT22",107294,54.799999,21.700001,25.415445
"DHT22",107795,54.799999,21.700001,8.406647
"DHT22",108571,54.799999,21.700001,6.549365
"DHT22",109072,54.799999,21.700001,14.076246
"DHT22",109573,54.799999,21.700001,22.287390
"DHT22",110074,54.700001,21.700001,28.836754
"DHT22",110850,54.700001,21.700001,3.030303
"DHT22",111351,54.700001,21.700001,5.376344
"DHT22",111852,54.700001,21.700001,15.249267
"DHT22",112353,54.700001,21.700001,29.325514
"DHT22",113129,54.700001,21.700001,8.895406
"DHT22",113630,54.700001,21.700001,4.203323
"DHT22",114131,54.700001,21.700001,5.474096
"DHT22",114632,54.599998,21.700001,30.303030
"DHT22",115408,54.599998,21.700001,29.032259
"DHT22",115909,54.599998,21.700001,14.467253
"DHT22",116410,54.599998,21.700001,3.812317
"DHT22",116911,54.500000,21.700001,30.303030
"DHT22",117686,54.500000,21.700001,30.400782
"DHT22",118187,54.500000,21.700001,29.423265
"DHT22",118688,54.500000,21.700001,29.130011
"DHT22",119189,54.599998,21.799999,36.559139
"DHT22",119965,54.599998,21.799999,30.791788
"DHT22",120466,54.599998,21.799999,30.205278
"DHT22",120967,54.599998,21.799999,29.716520
"DHT22",121468,54.500000,21.700001,45.356792
"DHT22",122243,54.500000,21.700001,37.145649
"DHT22",122744,54.500000,21.700001,33.822090
"DHT22",123245,54.500000,21.700001,29.912024
"DHT22",123746,54.500000,21.700001,56.793743
"DHT22",124521,54.500000,21.700001,54.643208
"DHT22",125022,54.500000,21.700001,45.063538
"DHT22",125523,54.500000,21.700001,35.874878
"DHT22",126024,54.799999,21.700001,31.378300
"DHT22",126800,54.799999,21.700001,55.425220
"DHT22",127301,54.799999,21.700001,49.657867
"DHT22",127802,54.799999,21.700001,40.762463
"DHT22",128303,55.099998,21.700001,30.596285
"DHT22",129078,55.099998,21.700001,49.853371
"DHT22",129579,55.099998,21.700001,57.282501
"DHT22",130080,55.099998,21.700001,55.229717
"DHT22",130581,55.099998,21.700001,30.400782
"DHT22",131356,55.099998,21.700001,30.596285
"DHT22",131857,55.099998,21.700001,31.085045
"DHT22",132358,55.099998,21.700001,56.109482
"DHT22",132859,54.900002,21.700001,29.716520
"DHT22",133634,54.900002,21.700001,30.205278
"DHT22",134135,54.900002,21.700001,30.596285
"DHT22",134636,54.900002,21.700001,30.694036
"DHT22",135137,54.900002,21.799999,25.415445
"DHT22",135912,54.900002,21.799999,28.250244
"DHT22",136413,54.900002,21.799999,30.205278
"DHT22",136914,54.900002,21.799999,30.303030
"DHT22",137415,54.700001,21.700001,16.617790
"DHT22",138191,54.700001,21.700001,27.761486
"DHT22",138692,54.700001,21.700001,30.205278
"DHT22",139193,54.700001,21.700001,30.694036
"DHT22",139694,54.599998,21.799999,15.835777
"DHT22",140470,54.599998,21.799999,27.370480
"DHT22",140971,54.599998,21.799999,30.694036
"DHT22",141472,54.599998,21.799999,31.085045
"DHT22",141973,54.500000,21.799999,15.053763
"DHT22",142749,54.500000,21.799999,26.979471
"DHT22",143250,54.500000,21.799999,30.205278
"DHT22",143751,54.500000,21.799999,30.596285
"DHT22",144252,54.700001,21.799999,13.880743
"DHT22",145028,54.700001,21.799999,25.904203
"DHT22",145529,54.700001,21.799999,30.107527
"DHT22",146030,54.700001,21.799999,30.400782
"DHT22",146531,54.799999,21.799999,7.429130
"DHT22",147306,54.799999,21.799999,18.279570
"DHT22",147807,54.799999,21.799999,26.686216
"DHT22",148308,54.799999,21.799999,30.694036
"DHT22",148809,54.900002,21.799999,5.474096
"DHT22",149584,54.900002,21.799999,10.654937
"DHT22",150085,54.900002,21.799999,20.918865
"DHT22",150586,54.900002,21.799999,27.468231
"DHT22",151087,54.900002,21.799999,9.188661
"DHT22",151862,54.900002,21.799999,6.451613
"DHT22",152363,54.900002,21.799999,13.000978
"DHT22",152864,54.900002,21.799999,23.069405
"DHT22",153365,54.900002,21.799999,30.009775
"DHT22",154141,54.900002,21.799999,5.767351
"DHT22",154642,54.900002,21.799999,12.023460
"DHT22",155143,54.900002,21.799999,21.896383
"DHT22",155644,55.500000,21.900000,30.596285
"DHT22",156419,55.500000,21.900000,8.993157
"DHT22",156920,55.500000,21.900000,6.158358
"DHT22",157421,55.500000,21.900000,11.534702
"DHT22",157922,54.799999,21.799999,30.009775
"DHT22",158697,54.799999,21.799999,30.400782
"DHT22",159198,54.799999,21.799999,10.557185
"DHT22",159699,54.799999,21.799999,5.571847
"DHT22",160200,54.799999,21.799999,30.889540
"DHT22",160975,54.799999,21.799999,30.889540
"DHT22",161476,54.799999,21.799999,30.791788
"DHT22",161977,54.799999,21.799999,30.596285
"DHT22",162478,54.799999,21.799999,35.972630
"DHT22",163253,54.799999,21.799999,32.746822
"DHT22",163754,54.799999,21.799999,31.671555
"DHT22",164255,54.799999,21.799999,31.280548
"DHT22",164756,54.700001,21.799999,45.259041
"DHT22",165532,54.700001,21.799999,34.799610
"DHT22",166033,54.700001,21.799999,31.182796
"DHT22",166534,54.700001,21.799999,31.182796
"DHT22",167035,54.700001,21.900000,54.643208
"DHT22",167810,54.700001,21.900000,45.161289
"DHT22",168311,54.700001,21.900000,36.363636
"DHT22",168812,54.700001,21.900000,33.724339
"DHT22",169313,54.700001,21.900000,56.989246
"DHT22",170088,54.700001,21.900000,54.154449
"DHT22",170589,54.700001,21.900000,47.800587
"DHT22",171090,54.700001,21.900000,39.198437
"DHT22",171591,54.599998,21.900000,32.258064
"DHT22",172367,54.599998,21.900000,59.530792
"DHT22",172868,54.599998,21.900000,55.425220
"DHT22",173369,54.599998,21.900000,45.747799
"DHT22",173870,54.500000,21.900000,32.160313
"DHT22",174646,54.500000,21.900000,55.327469
"DHT22",175147,54.500000,21.900000,54.740959
"DHT22",175648,54.500000,21.900000,49.169109
"DHT22",176149,54.500000,22.000000,31.964809
"DHT22",176925,54.500000,22.000000,52.492668
"DHT22",177426,54.500000,22.000000,57.869011
"DHT22",177927,54.500000,22.000000,54.936462
"DHT22",178428,54.299999,21.900000,31.964809
"DHT22",179204,54.299999,21.900000,32.551319
"DHT22",179705,54.299999,21.900000,57.380253
"DHT22",180206,54.299999,21.900000,55.718475
"DHT22",180707,54.299999,21.900000,31.867058
"DHT22",181483,54.299999,21.900000,32.355816
"DHT22",181984,54.299999,21.900000,55.425220
"DHT22",182485,54.299999,21.900000,56.109482
"DHT22",182986,54.200001,21.900000,32.160313
"DHT22",183762,54.200001,21.900000,32.649071
"DHT22",184263,54.200001,21.900000,52.492668
"DHT22",184764,54.200001,21.900000,58.553276
