"sensor","time_ms","humidity_percent","temperature_degc","dryness_raw"
"DHC1080",350729,73.791504,22.026062,47.507332
"DHT22",350729,74.400002,20.799999,47.507332
"DHC1080",356006,73.791504,22.026062,55.229717
"DHT22",356006,74.400002,20.799999,55.229717
"DHC1080",361282,73.791504,22.026062,56.109482
"DHT22",361282,74.500000,20.799999,56.109482
"DHC1080",366558,73.791504,22.026062,58.846531
"DHT22",366558,74.500000,20.799999,58.846531
"DHC1080",371834,73.693848,21.975708,66.177910
"DHT22",371834,74.400002,20.700001,66.177910
"DHC1080",377111,73.693848,21.975708,65.298141
"DHT22",377111,74.900002,20.700001,65.298141
"DHC1080",382387,73.693848,21.975708,53.567936
"DHT22",382387,75.099998,20.700001,53.567936
"DHC1080",387663,73.693848,21.975708,51.808407
"DHT22",387663,75.300003,20.700001,51.808407
"DHC1080",392939,73.889160,21.915283,49.169109
"DHT22",392939,75.300003,20.700001,49.169109
"DHC1080",398216,73.889160,21.915283,44.379276
"DHT22",398216,75.099998,20.700001,44.379276
"DHC1080",403492,73.889160,21.915283,41.348972
"DHT22",403492,74.900002,20.600000,41.348972
"DHC1080",408768,73.889160,21.915283,54.545456
"DHT22",408768,75.599998,20.600000,54.545456
"DHC1080",414044,73.925781,21.834717,54.447704
"DHT22",414044,75.599998,20.600000,54.447704
"DHC1080",419321,73.925781,21.834717,55.034214
"DHT22",419321,75.800003,20.600000,55.034214
"DHC1080",424597,73.925781,21.834717,61.192570
"DHT22",424597,75.699997,20.600000,61.192570
"DHC1080",429873,73.925781,21.834717,66.080154
"DHT22",429873,75.599998,20.600000,66.080154
"DHC1080",435149,74.426270,21.804504,53.274681
"DHT22",435149,75.800003,20.600000,53.274681
"DHC1080",440426,74.426270,21.804504,52.785923
"DHT22",440426,75.400002,20.600000,52.785923
"DHC1080",445702,74.426270,21.804504,49.560116
"DHT22",445702,74.900002,20.500000,49.560116
"DHC1080",450978,74.426270,21.804504,39.687195
"DHT22",450978,75.000000,20.500000,39.687195
"DHC1080",456254,74.829102,21.723938,53.176929
"DHT22",456254,75.099998,20.500000,53.176929
"DHC1080",461531,74.829102,21.723938,53.763439
"DHT22",461531,75.099998,20.500000,53.763439
"DHC1080",466807,74.829102,21.723938,57.673508
"DHT22",466807,75.500000,20.500000,57.673508
"DHC1080",472083,74.829102,21.723938,66.568916
"DHT22",472083,75.800003,20.500000,66.568916
"DHC1080",477359,74.261475,21.673584,52.199413
"DHT22",477359,76.199997,20.500000,52.199413
"DHC1080",482636,74.261475,21.673584,47.605083
"DHT22",482636,76.300003,20.500000,47.605083
"DHC1080",487913,74.261475,21.673584,52.981426
"DHT22",487913,76.400002,20.400000,52.981426
"DHC1080",493189,74.261475,21.673584,57.869011
"DHT22",493189,76.300003,20.400000,57.869011
"DHC1080",498465,75.061035,21.613159,52.883675
"DHT22",498465,76.699997,20.400000,52.883675
"DHC1080",503742,75.061035,21.613159,49.951122
"DHT22",503742,77.000000,20.400000,49.951122
"DHC1080",509018,75.061035,21.613159,39.100685
"DHT22",509018,77.500000,20.400000,39.100685
"DHC1080",514294,75.061035,21.613159,53.470184
"DHT22",514294,77.300003,20.400000,53.470184
"DHC1080",519570,75.665283,21.562805,62.463345
"DHT22",519570,77.000000,20.400000,62.463345
"DHC1080",524846,75.665283,21.562805,52.297165
"DHT22",524846,77.300003,20.400000,52.297165
"DHC1080",530122,75.665283,21.562805,49.071358
"DHT22",530122,77.300003,20.400000,49.071358
"DHC1080",535398,75.665283,21.562805,40.078201
"DHT22",535398,77.000000,20.299999,40.078201
"DHC1080",540674,75.561523,21.502380,53.372433
"DHT22",540674,77.099998,20.299999,53.372433
"DHC1080",545951,75.561523,21.502380,65.004890
"DHT22",545951,77.000000,20.299999,65.004890
"DHC1080",551227,75.561523,21.502380,49.462364
"DHT22",551227,77.400002,20.299999,49.462364
"DHC1080",556503,75.561523,21.502380,41.348972
"DHT22",556503,77.500000,20.299999,41.348972
"DHC1080",561779,76.165771,21.462097,52.883675
"DHT22",561779,77.900002,20.299999,52.883675
"DHC1080",567056,76.165771,21.462097,57.673508
"DHT22",567056,78.000000,20.299999,57.673508
"DHC1080",572332,76.165771,21.462097,66.080154
"DHT22",572332,78.000000,20.299999,66.080154
"DHC1080",577608,76.165771,21.462097,65.493645
"DHT22",577608,78.000000,20.299999,65.493645
"DHC1080",582884,77.001953,21.421814,65.102638
"DHT22",582884,78.300003,20.299999,65.102638
"DHC1080",588161,77.001953,21.421814,65.493645
"DHT22",588161,79.099998,20.299999,65.493645
"DHC1080",775901,77.099609,21.381531,35.483871
"DHT22",775901,78.599998,20.000000,35.483871
"DHC1080",781177,77.099609,21.381531,46.334312
"DHT22",781177,78.699997,20.000000,46.334312
"DHC1080",786453,78.137207,21.029053,50.537636
"DHT22",786453,78.599998,20.000000,50.537636
"DHC1080",791730,78.137207,21.029053,50.146629
"DHT22",791730,78.699997,20.000000,50.146629
"DHC1080",797006,78.137207,21.029053,50.244381
"DHT22",797006,78.900002,20.000000,50.244381
"DHC1080",802282,78.137207,21.029053,50.146629
"DHT22",802282,79.199997,20.000000,50.146629
"DHC1080",807558,77.239990,21.029053,51.124146
"DHT22",807558,79.300003,20.000000,51.124146
"DHC1080",812834,77.239990,21.029053,54.936462
"DHT22",812834,78.599998,20.000000,54.936462
"DHC1080",818110,77.239990,21.029053,61.974583
"DHT22",818110,78.599998,20.000000,61.974583
"DHC1080",823386,77.239990,21.029053,65.004890
"DHT22",823386,78.900002,20.000000,65.004890
"DHC1080",828662,77.337646,20.978699,64.613884
"DHT22",828662,79.199997,20.000000,64.613884
"DHC1080",833938,77.337646,20.978699,55.034214
"DHT22",833938,79.400002,20.000000,55.034214
"DHC1080",839214,77.337646,20.978699,49.853371
"DHT22",839214,79.000000,20.000000,49.853371
"DHC1080",844490,77.337646,20.978699,49.462364
"DHT22",844490,79.099998,20.000000,49.462364
"DHC1080",849766,78.039551,20.968628,48.973606
"DHT22",849766,79.300003,20.000000,48.973606
"DHC1080",855042,78.039551,20.968628,46.041058
"DHT22",855042,79.699997,20.000000,46.041058
"DHC1080",860318,78.039551,20.968628,40.371456
"DHT22",860318,79.599998,20.000000,40.371456
"DHC1080",865594,78.039551,20.968628,35.483871
"DHT22",865594,79.500000,20.000000,35.483871
"DHC1080",870870,78.277588,20.938416,36.265884
"DHT22",870870,80.099998,19.900000,36.265884
"DHC1080",876147,78.277588,20.938416,35.092865
"DHT22",876147,79.699997,19.900000,35.092865
"DHC1080",881423,78.277588,20.938416,41.935482
"DHT22",881423,79.300003,19.900000,41.935482
"DHC1080",886699,78.277588,20.938416,49.560116
"DHT22",886699,79.300003,19.900000,49.560116
"DHC1080",891975,78.479004,20.918274,49.951122
"DHT22",891975,79.699997,19.900000,49.951122
"DHC1080",897252,78.479004,20.918274,50.635387
