"sensor","time_ms","humidity_percent","temperature_degc","dryness_raw"
"DHT22",2369853,51.099998,22.299999,51.710655
"DHT22",2370629,51.099998,22.299999,45.259041
"DHT22",2371130,51.099998,22.299999,43.206257
"DHT22",2371631,51.099998,22.299999,41.935482
"DHT22",2372132,50.900002,22.299999,56.989246
"DHT22",2372908,50.900002,22.299999,57.575756
"DHT22",2373409,50.900002,22.299999,50.439884
"DHT22",2373910,50.900002,22.299999,47.311829
"DHT22",2374411,50.799999,22.299999,40.762463
"DHT22",2375187,50.799999,22.299999,53.372433
"DHT22",2375688,50.799999,22.299999,57.575756
"DHT22",2376189,50.799999,22.299999,55.816227
"DHT22",2376690,50.599998,22.200001,39.687195
"DHT22",2377466,50.599998,22.200001,40.273705
"DHT22",2377967,50.599998,22.200001,40.566959
"DHT22",2378468,50.599998,22.200001,41.055717
"DHT22",2378969,50.500000,22.299999,36.265884
"DHT22",2379745,50.500000,22.299999,39.980450
"DHT22",2380246,50.500000,22.299999,39.589443
"DHT22",2380747,50.500000,22.299999,40.175953
"DHT22",2381248,50.500000,22.400000,22.482893
"DHT22",2382024,50.500000,22.400000,31.085045
"DHT22",2382525,50.500000,22.400000,35.972630
"DHT22",2383026,50.500000,22.400000,38.123169
"DHT22",2383527,50.200001,22.299999,26.001955
"DHT22",2384303,50.200001,22.299999,23.264908
"DHT22",2384804,50.200001,22.299999,22.482893
"DHT22",2385305,50.200001,22.299999,29.325514
"DHT22",2385806,50.099998,22.299999,39.491692
"DHT22",2386582,50.099998,22.299999,39.100685
"DHT22",2387083,50.099998,22.299999,26.392962
"DHT22",2387584,50.099998,22.299999,21.700880
"DHT22",2388085,50.299999,22.400000,41.153469
"DHT22",2388861,50.299999,22.400000,39.589443
"DHT22",2389362,50.299999,22.400000,39.491692
"DHT22",2389863,50.299999,22.400000,39.393940
"DHT22",2390364,50.299999,22.299999,45.161289
"DHT22",2391140,50.299999,22.299999,42.033237
"DHT22",2391641,50.299999,22.299999,40.078201
"DHT22",2392142,50.299999,22.299999,39.980450
"DHT22",2392643,50.799999,22.400000,56.500488
"DHT22",2393419,50.799999,22.400000,52.003910
"DHT22",2393920,50.799999,22.400000,45.552296
"DHT22",2394421,50.799999,22.400000,43.401760
"DHT22",2394922,51.500000,22.299999,40.175953
"DHT22",2395697,51.500000,22.299999,51.515152
"DHT22",2396198,51.500000,22.299999,57.282501
"DHT22",2396699,51.500000,22.299999,57.869011
"DHT22",2397200,51.799999,22.400000,37.829910
"DHT22",2397975,51.799999,22.400000,35.972630
"DHT22",2398476,51.799999,22.400000,37.829910
"DHT22",2398977,51.799999,22.400000,39.002934
"DHT22",2399478,51.799999,22.299999,1.661779
"DHT22",2400254,51.799999,22.299999,10.459433
"DHT22",2400755,51.799999,22.299999,17.986315
"DHT22",2401256,51.799999,22.299999,30.400782
"DHT22",2401757,52.000000,22.400000,25.610949
"DHT22",2402532,52.000000,22.400000,9.384164
"DHT22",2403033,52.000000,22.400000,0.000000
"DHT22",2403534,52.000000,22.400000,4.203323
"DHT22",2404035,52.000000,22.400000,41.153469
"DHT22",2404810,52.000000,22.400000,40.860214
"DHT22",2405311,52.000000,22.400000,39.784946
"DHT22",2405812,52.000000,22.400000,39.491692
"DHT22",2406313,51.799999,22.400000,65.102638
"DHT22",2407088,51.799999,22.400000,61.974583
"DHT22",2407589,51.799999,22.400000,57.966763
